cell_id,paul15_clusters
W37899,2Ery
W37900,3Ery
W37901,2Ery
W37902,16Neu
W37903,7MEP
W37904,2Ery
W37906,10GMP
W37907,7MEP
W37908,5Ery
W37909,5Ery
W37910,13Baso
W37913,6Ery
W37914,7MEP
W37915,3Ery
W37916,10GMP
W37917,5Ery
W37918,5Ery
W37919,1Ery
W37921,13Baso
W37922,15Mo
W37923,3Ery
W37924,6Ery
W37929,14Mo
W37930,11DC
W37935,3Ery
W37937,3Ery
W37938,3Ery
W37939,16Neu
W37940,3Ery
W37941,9GMP
W37942,14Mo
W37943,12Baso
W37945,9GMP
W37946,14Mo
W37948,14Mo
W37951,8Mk
W37952,5Ery
W37953,15Mo
W37954,15Mo
W37955,3Ery
W37956,16Neu
W37957,15Mo
W37959,4Ery
W37960,3Ery
W37961,8Mk
W37962,15Mo
W37963,14Mo
W37964,5Ery
W37965,3Ery
W37967,4Ery
W37969,2Ery
W37970,8Mk
W37971,7MEP
W37972,10GMP
W37974,15Mo
W37975,14Mo
W37977,13Baso
W37978,3Ery
W37979,7MEP
W37980,2Ery
W37982,13Baso
W37983,2Ery
W37984,10GMP
W37985,2Ery
W37986,2Ery
W37988,2Ery
W37989,12Baso
W37990,14Mo
W37991,1Ery
W37992,14Mo
W37993,14Mo
W37994,2Ery
W37995,14Mo
W37996,16Neu
W37997,14Mo
W38000,8Mk
W38001,16Neu
W38002,16Neu
W38003,2Ery
W38004,8Mk
W38005,5Ery
W38006,6Ery
W38008,15Mo
W38009,13Baso
W38010,5Ery
W38011,14Mo
W38012,5Ery
W38013,6Ery
W38014,16Neu
W38017,3Ery
W38018,15Mo
W38019,7MEP
W38020,7MEP
W38021,10GMP
W38022,14Mo
W38023,3Ery
W38025,4Ery
W38026,13Baso
W38027,15Mo
W38028,11DC
W38030,17Neu
W38031,4Ery
W38032,6Ery
W38033,3Ery
W38034,3Ery
W38035,7MEP
W38036,8Mk
W38037,6Ery
W38038,11DC
W38039,16Neu
W38040,3Ery
W38041,14Mo
W38042,4Ery
W38043,4Ery
W38044,11DC
W38045,3Ery
W38046,14Mo
W38047,15Mo
W38048,3Ery
W38049,10GMP
W38050,6Ery
W38051,2Ery
W38052,16Neu
W38053,15Mo
W38054,7MEP
W38055,3Ery
W38056,10GMP
W38057,3Ery
W38058,14Mo
W38059,7MEP
W38060,6Ery
W38061,10GMP
W38062,10GMP
W38063,3Ery
W38064,7MEP
W38065,2Ery
W38066,4Ery
W38067,7MEP
W38068,13Baso
W38069,6Ery
W38070,15Mo
W38071,8Mk
W38072,10GMP
W38073,4Ery
W38074,4Ery
W38075,3Ery
W38076,7MEP
W38077,2Ery
W38078,16Neu
W38079,3Ery
W38080,3Ery
W38081,6Ery
W38082,6Ery
W38083,7MEP
W38084,4Ery
W38085,16Neu
W38086,2Ery
W38087,13Baso
W38088,10GMP
W38090,3Ery
W38091,3Ery
W38092,10GMP
W38093,6Ery
W38094,14Mo
W38095,15Mo
W38096,7MEP
W38097,13Baso
W38098,14Mo
W38100,14Mo
W38101,14Mo
W38102,2Ery
W38103,16Neu
W38104,7MEP
W38105,14Mo
W38106,10GMP
W38107,14Mo
W38108,6Ery
W38109,14Mo
W38110,16Neu
W38111,2Ery
W38112,10GMP
W38113,16Neu
W38114,14Mo
W38115,14Mo
W38116,5Ery
W38117,12Baso
W38118,4Ery
W38119,3Ery
W38121,13Baso
W38123,2Ery
W38124,4Ery
W38125,4Ery
W38126,3Ery
W38127,3Ery
W38128,13Baso
W38129,12Baso
W38130,14Mo
W38131,16Neu
W38132,3Ery
W38133,5Ery
W38134,6Ery
W38135,7MEP
W38136,4Ery
W38137,4Ery
W38138,5Ery
W38140,14Mo
W38141,14Mo
W38142,2Ery
W38143,12Baso
W38144,3Ery
W38145,5Ery
W38146,2Ery
W38147,2Ery
W38148,16Neu
W38149,7MEP
W38150,5Ery
W38151,2Ery
W38152,7MEP
W38153,3Ery
W38154,4Ery
W38155,2Ery
W38156,5Ery
W38157,10GMP
W38158,1Ery
W38159,10GMP
W38160,11DC
W38161,16Neu
W38162,2Ery
W38163,2Ery
W38164,2Ery
W38165,5Ery
W38166,5Ery
W38167,14Mo
W38168,14Mo
W38169,16Neu
W38170,10GMP
W38171,14Mo
W38172,14Mo
W38173,4Ery
W38175,2Ery
W38176,6Ery
W38177,2Ery
W38180,16Neu
W38181,1Ery
W38182,13Baso
W38183,3Ery
W38184,15Mo
W38185,3Ery
W38186,5Ery
W38187,2Ery
W38188,2Ery
W38189,16Neu
W38190,4Ery
W38191,12Baso
W38192,3Ery
W38193,12Baso
W38194,14Mo
W38195,15Mo
W38196,14Mo
W38197,10GMP
W38198,6Ery
W38199,12Baso
W38200,2Ery
W38201,3Ery
W38202,4Ery
W38203,7MEP
W38204,4Ery
W38205,15Mo
W38206,2Ery
W38207,7MEP
W38208,14Mo
W38209,3Ery
W38210,13Baso
W38211,3Ery
W38212,15Mo
W38213,15Mo
W38214,13Baso
W38215,14Mo
W38217,4Ery
W38218,14Mo
W38219,6Ery
W38220,3Ery
W38221,14Mo
W38222,8Mk
W38223,8Mk
W38224,7MEP
W38225,15Mo
W38226,15Mo
W38227,13Baso
W38228,16Neu
W38229,6Ery
W38230,3Ery
W38231,2Ery
W38232,13Baso
W38233,3Ery
W38234,3Ery
W38235,13Baso
W38236,11DC
W38237,10GMP
W38238,4Ery
W38239,2Ery
W38240,7MEP
W38241,7MEP
W38242,6Ery
W38243,3Ery
W38244,16Neu
W38245,7MEP
W38246,14Mo
W38247,3Ery
W38248,6Ery
W38249,9GMP
W38250,12Baso
W38251,3Ery
W38252,14Mo
W38253,10GMP
W38254,4Ery
W38255,7MEP
W38256,6Ery
W38257,14Mo
W38258,14Mo
W38259,4Ery
W38260,3Ery
W38261,3Ery
W38262,2Ery
W38263,16Neu
W38264,3Ery
W38266,7MEP
W38267,18Eos
W38268,6Ery
W38269,13Baso
W38270,4Ery
W38271,10GMP
W38272,6Ery
W38273,2Ery
W38274,12Baso
W38275,1Ery
W38276,4Ery
W38277,13Baso
W38278,14Mo
W38279,14Mo
W38280,13Baso
W38282,3Ery
W38283,3Ery
W38284,16Neu
W38285,15Mo
W38286,14Mo
W38287,3Ery
W38288,6Ery
W38289,2Ery
W38290,10GMP
W38291,14Mo
W38292,5Ery
W38293,4Ery
W38294,15Mo
W38295,13Baso
W38296,15Mo
W38297,13Baso
W38298,14Mo
W38299,12Baso
W38300,16Neu
W38301,13Baso
W38302,6Ery
W38303,15Mo
W38304,4Ery
W38305,14Mo
W38306,13Baso
W38307,15Mo
W38308,3Ery
W38309,10GMP
W38310,13Baso
W38311,4Ery
W38313,8Mk
W38314,3Ery
W38315,14Mo
W38316,15Mo
W38318,16Neu
W38319,15Mo
W38320,9GMP
W38321,16Neu
W38322,12Baso
W38323,10GMP
W38324,14Mo
W38326,14Mo
W38327,14Mo
W38328,7MEP
W38329,15Mo
W38330,17Neu
W38331,2Ery
W38332,14Mo
W38333,14Mo
W38334,4Ery
W38335,6Ery
W38336,15Mo
W38337,2Ery
W38338,2Ery
W38339,5Ery
W38340,2Ery
W38341,2Ery
W38342,14Mo
W38343,2Ery
W38344,14Mo
W38345,15Mo
W38346,5Ery
W38347,6Ery
W38348,13Baso
W38349,6Ery
W38350,13Baso
W38351,5Ery
W38352,15Mo
W38353,3Ery
W38354,10GMP
W38355,2Ery
W38356,14Mo
W38357,2Ery
W38358,14Mo
W38359,2Ery
W38360,2Ery
W38361,2Ery
W38362,5Ery
W38363,14Mo
W38364,1Ery
W38365,5Ery
W38366,4Ery
W38367,2Ery
W38368,10GMP
W38369,2Ery
W38370,2Ery
W38372,7MEP
W38373,2Ery
W38374,7MEP
W38375,1Ery
W38376,7MEP
W38377,9GMP
W38379,2Ery
W38380,17Neu
W38381,14Mo
W38382,14Mo
W38383,13Baso
W38384,7MEP
W38385,16Neu
W38386,2Ery
W38387,2Ery
W38388,7MEP
W38389,6Ery
W38390,14Mo
W38391,4Ery
W38392,6Ery
W38393,2Ery
W38394,4Ery
W38395,1Ery
W38396,5Ery
W38398,8Mk
W38399,4Ery
W38400,6Ery
W38401,13Baso
W38402,6Ery
W38403,13Baso
W38404,7MEP
W38405,3Ery
W38406,3Ery
W38407,13Baso
W38409,3Ery
W38410,15Mo
W38411,14Mo
W38412,6Ery
W38413,10GMP
W38414,16Neu
W38415,4Ery
W38416,14Mo
W38417,14Mo
W38418,10GMP
W38419,3Ery
W38420,10GMP
W38421,14Mo
W38422,3Ery
W38423,4Ery
W38425,14Mo
W38426,3Ery
W38427,15Mo
W38428,15Mo
W38429,10GMP
W38430,15Mo
W38431,15Mo
W38433,14Mo
W38434,13Baso
W38435,16Neu
W38436,14Mo
W38437,4Ery
W38438,14Mo
W38439,9GMP
W38440,3Ery
W38441,14Mo
W38443,3Ery
W38444,10GMP
W38445,16Neu
W38446,16Neu
W38447,13Baso
W38448,1Ery
W38449,6Ery
W38450,2Ery
W38451,14Mo
W38452,2Ery
W38453,14Mo
W38454,5Ery
W38455,2Ery
W38456,9GMP
W38457,13Baso
W38458,2Ery
W38459,3Ery
W38460,16Neu
W38461,13Baso
W38462,14Mo
W38463,4Ery
W38464,3Ery
W38465,6Ery
W38466,7MEP
W38467,10GMP
W38468,4Ery
W38469,2Ery
W38470,16Neu
W38471,12Baso
W38474,7MEP
W38475,13Baso
W38477,4Ery
W38478,7MEP
W38480,4Ery
W38481,12Baso
W38482,5Ery
W38483,2Ery
W38484,2Ery
W38485,9GMP
W38486,1Ery
W38487,11DC
W38488,3Ery
W38489,14Mo
W38491,16Neu
W38492,2Ery
W38493,5Ery
W38494,14Mo
W38495,15Mo
W38496,9GMP
W38497,9GMP
W38498,14Mo
W38500,2Ery
W38501,4Ery
W38502,5Ery
W38503,4Ery
W38505,3Ery
W38506,16Neu
W38507,2Ery
W38509,16Neu
W38510,2Ery
W38512,13Baso
W38515,2Ery
W38516,6Ery
W38517,6Ery
W38519,14Mo
W38521,2Ery
W38522,2Ery
W38523,8Mk
W38524,8Mk
W38525,14Mo
W38526,14Mo
W38527,1Ery
W38528,4Ery
W38529,7MEP
W38530,16Neu
W38531,16Neu
W38532,14Mo
W38533,3Ery
W38534,2Ery
W38535,16Neu
W38536,17Neu
W38537,6Ery
W38538,2Ery
W38539,14Mo
W38540,16Neu
W38541,7MEP
W38543,2Ery
W38544,3Ery
W38545,2Ery
W38546,6Ery
W38547,6Ery
W38548,6Ery
W38549,10GMP
W38550,12Baso
W38551,12Baso
W38552,4Ery
W38553,2Ery
W38554,4Ery
W38555,2Ery
W38556,14Mo
W38558,3Ery
W38559,6Ery
W38560,3Ery
W38561,10GMP
W38563,2Ery
W38564,14Mo
W38565,16Neu
W38567,18Eos
W38568,13Baso
W38569,6Ery
W38570,14Mo
W38571,13Baso
W38572,2Ery
W38573,2Ery
W38575,5Ery
W38576,10GMP
W38577,5Ery
W38578,14Mo
W38579,13Baso
W38580,14Mo
W38581,16Neu
W38582,2Ery
W38583,10GMP
W38584,4Ery
W38585,16Neu
W38586,6Ery
W38587,15Mo
W38588,14Mo
W38589,12Baso
W38590,7MEP
W38591,10GMP
W38592,15Mo
W38593,3Ery
W38594,15Mo
W38595,3Ery
W38596,9GMP
W38597,2Ery
W38598,7MEP
W38599,3Ery
W38601,13Baso
W38602,16Neu
W38603,13Baso
W38604,2Ery
W38605,15Mo
W38606,7MEP
W38607,6Ery
W38608,5Ery
W38609,13Baso
W38610,10GMP
W38611,9GMP
W38612,13Baso
W38613,13Baso
W38614,12Baso
W38615,5Ery
W38616,13Baso
W38617,15Mo
W38618,14Mo
W38619,10GMP
W38620,15Mo
W38622,4Ery
W38623,5Ery
W38624,8Mk
W38625,13Baso
W38626,7MEP
W38627,14Mo
W38628,14Mo
W38629,2Ery
W38630,6Ery
W38631,2Ery
W38632,13Baso
W38633,7MEP
W38634,16Neu
W38636,14Mo
W38637,3Ery
W38638,16Neu
W38640,10GMP
W38643,12Baso
W38644,10GMP
W38645,13Baso
W38646,1Ery
W38647,16Neu
W38648,6Ery
W38649,14Mo
W38650,2Ery
W38651,14Mo
W38652,10GMP
W38653,14Mo
W38654,16Neu
W38655,9GMP
W38656,3Ery
W38657,3Ery
W38659,14Mo
W38660,2Ery
W38662,12Baso
W38663,9GMP
W38664,1Ery
W38666,3Ery
W38668,5Ery
W38669,2Ery
W38670,8Mk
W38672,2Ery
W38673,16Neu
W38674,5Ery
W38675,10GMP
W38676,13Baso
W38677,16Neu
W38678,14Mo
W38679,2Ery
W38680,5Ery
W38681,15Mo
W38682,7MEP
W38683,15Mo
W38684,5Ery
W38685,6Ery
W38686,5Ery
W38687,2Ery
W38688,3Ery
W38689,15Mo
W38690,7MEP
W38691,3Ery
W38692,15Mo
W38693,16Neu
W38694,6Ery
W38695,7MEP
W38697,6Ery
W38698,6Ery
W38699,10GMP
W38700,4Ery
W38701,13Baso
W38702,14Mo
W38703,13Baso
W38704,3Ery
W38705,6Ery
W38707,8Mk
W38709,14Mo
W38710,2Ery
W38711,9GMP
W38712,6Ery
W38713,15Mo
W38714,13Baso
W38715,3Ery
W38716,16Neu
W38717,2Ery
W38718,9GMP
W38719,14Mo
W38720,3Ery
W38721,14Mo
W38722,14Mo
W38723,16Neu
W38724,14Mo
W38726,9GMP
W38727,3Ery
W38728,13Baso
W38729,10GMP
W38730,14Mo
W38732,3Ery
W38733,6Ery
W38734,14Mo
W38735,4Ery
W38736,3Ery
W38737,2Ery
W38738,2Ery
W38739,14Mo
W38740,2Ery
W38741,8Mk
W38742,10GMP
W38744,10GMP
W38745,14Mo
W38747,10GMP
W38748,16Neu
W38750,10GMP
W38751,10GMP
W38752,13Baso
W38753,16Neu
W38754,2Ery
W38755,16Neu
W38756,2Ery
W38757,14Mo
W38758,11DC
W38759,14Mo
W38760,11DC
W38761,14Mo
W38765,13Baso
W38767,2Ery
W38768,2Ery
W38769,16Neu
W38770,2Ery
W38771,2Ery
W38772,14Mo
W38773,5Ery
W38774,2Ery
W38775,7MEP
W38776,9GMP
W38777,2Ery
W38778,10GMP
W38779,7MEP
W38781,6Ery
W38782,15Mo
W38783,5Ery
W38784,5Ery
W38785,15Mo
W38786,14Mo
W38788,8Mk
W38789,14Mo
W38790,15Mo
W38791,4Ery
W38793,14Mo
W38794,13Baso
W38795,6Ery
W38796,4Ery
W38797,13Baso
W38798,4Ery
W38799,9GMP
W38800,3Ery
W38801,8Mk
W38802,8Mk
W38803,15Mo
W38804,2Ery
W38805,12Baso
W38806,3Ery
W38807,15Mo
W38808,15Mo
W38809,9GMP
W38810,3Ery
W38811,10GMP
W38812,15Mo
W38813,16Neu
W38814,4Ery
W38815,3Ery
W38816,14Mo
W38818,3Ery
W38819,16Neu
W38820,6Ery
W38821,5Ery
W38822,13Baso
W38823,13Baso
W38824,11DC
W38825,13Baso
W38826,8Mk
W38827,2Ery
W38828,13Baso
W38829,13Baso
W38830,8Mk
W38831,8Mk
W38832,15Mo
W38833,14Mo
W38834,14Mo
W38836,6Ery
W38837,5Ery
W38838,15Mo
W38839,7MEP
W38840,15Mo
W38841,15Mo
W38843,6Ery
W38845,12Baso
W38846,2Ery
W38847,13Baso
W38848,3Ery
W38849,4Ery
W38850,14Mo
W38851,10GMP
W38852,16Neu
W38853,15Mo
W38854,6Ery
W38855,13Baso
W38858,15Mo
W38859,6Ery
W38860,2Ery
W38861,15Mo
W38862,3Ery
W38863,13Baso
W38864,6Ery
W38865,13Baso
W38866,9GMP
W38867,10GMP
W38868,10GMP
W38869,14Mo
W38870,2Ery
W38871,6Ery
W38872,10GMP
W38873,7MEP
W38874,6Ery
W38875,14Mo
W38876,2Ery
W38877,2Ery
W38878,7MEP
W38879,5Ery
W38880,13Baso
W38881,13Baso
W38882,14Mo
W38883,3Ery
W38884,13Baso
W38886,4Ery
W38887,3Ery
W38889,2Ery
W38890,15Mo
W38891,7MEP
W38892,1Ery
W38893,15Mo
W38894,2Ery
W38895,13Baso
W38896,8Mk
W38897,9GMP
W38899,11DC
W38900,8Mk
W38901,17Neu
W38902,13Baso
W38903,13Baso
W38904,13Baso
W38905,3Ery
W38906,12Baso
W38907,16Neu
W38908,10GMP
W38909,15Mo
W38910,7MEP
W38911,13Baso
W38912,13Baso
W38913,14Mo
W38914,16Neu
W38915,3Ery
W38916,7MEP
W38917,13Baso
W38918,13Baso
W38919,3Ery
W38920,1Ery
W38921,14Mo
W38922,15Mo
W38923,10GMP
W38924,15Mo
W38925,4Ery
W38926,9GMP
W38927,14Mo
W38928,9GMP
W38929,13Baso
W38930,10GMP
W38931,9GMP
W38932,5Ery
W38933,2Ery
W38934,7MEP
W38935,13Baso
W38937,6Ery
W38938,7MEP
W38939,10GMP
W38940,7MEP
W38941,10GMP
W38942,3Ery
W38943,5Ery
W38944,10GMP
W38945,6Ery
W38947,8Mk
W38948,4Ery
W38949,14Mo
W38950,16Neu
W38951,14Mo
W38952,10GMP
W38953,10GMP
W38954,13Baso
W38955,7MEP
W38956,15Mo
W38957,10GMP
W38958,15Mo
W38959,15Mo
W38960,14Mo
W38961,5Ery
W38962,13Baso
W38963,9GMP
W38964,7MEP
W38965,14Mo
W38966,6Ery
W38967,2Ery
W38968,8Mk
W38969,7MEP
W38970,5Ery
W38971,7MEP
W38972,13Baso
W38973,7MEP
W38974,5Ery
W38975,8Mk
W38976,2Ery
W38977,2Ery
W38978,4Ery
W38979,14Mo
W38980,15Mo
W38981,13Baso
W38982,3Ery
W38983,2Ery
W38985,5Ery
W38987,13Baso
W38989,3Ery
W38990,6Ery
W38991,8Mk
W38992,6Ery
W38993,15Mo
W38994,2Ery
W38996,5Ery
W38997,6Ery
W38998,9GMP
W38999,8Mk
W39000,15Mo
W39001,13Baso
W39002,10GMP
W39003,15Mo
W39004,15Mo
W39005,2Ery
W39006,13Baso
W39007,14Mo
W39008,9GMP
W39009,2Ery
W39010,3Ery
W39011,17Neu
W39012,16Neu
W39013,13Baso
W39015,6Ery
W39017,13Baso
W39018,10GMP
W39019,13Baso
W39020,13Baso
W39021,2Ery
W39022,6Ery
W39023,15Mo
W39024,14Mo
W39025,14Mo
W39026,13Baso
W39027,14Mo
W39028,6Ery
W39029,13Baso
W39030,17Neu
W39031,2Ery
W39032,6Ery
W39033,7MEP
W39034,10GMP
W39035,10GMP
W39036,6Ery
W39037,15Mo
W39038,15Mo
W39039,6Ery
W39040,4Ery
W39041,8Mk
W39042,6Ery
W39043,13Baso
W39044,13Baso
W39045,5Ery
W39047,10GMP
W39048,10GMP
W39050,10GMP
W39051,2Ery
W39052,11DC
W39053,16Neu
W39054,14Mo
W39055,5Ery
W39056,10GMP
W39057,6Ery
W39058,2Ery
W39059,10GMP
W39060,15Mo
W39061,16Neu
W39062,6Ery
W39064,10GMP
W39065,15Mo
W39066,13Baso
W39067,5Ery
W39068,7MEP
W39069,4Ery
W39070,7MEP
W39071,3Ery
W39073,13Baso
W39074,13Baso
W39075,13Baso
W39076,3Ery
W39077,1Ery
W39078,15Mo
W39079,8Mk
W39081,7MEP
W39082,7MEP
W39083,13Baso
W39084,13Baso
W39085,5Ery
W39087,6Ery
W39088,15Mo
W39089,13Baso
W39090,14Mo
W39091,10GMP
W39092,13Baso
W39093,7MEP
W39094,15Mo
W39095,8Mk
W39096,9GMP
W39097,4Ery
W39098,17Neu
W39099,2Ery
W39100,14Mo
W39101,15Mo
W39103,14Mo
W39104,6Ery
W39105,6Ery
W39106,10GMP
W39107,6Ery
W39109,13Baso
W39110,6Ery
W39111,12Baso
W39112,3Ery
W39113,13Baso
W39114,13Baso
W39115,16Neu
W39116,10GMP
W39117,16Neu
W39118,13Baso
W39119,5Ery
W39120,2Ery
W39121,9GMP
W39122,16Neu
W39123,8Mk
W39124,11DC
W39125,13Baso
W39126,10GMP
W39127,5Ery
W39128,15Mo
W39129,13Baso
W39130,9GMP
W39131,14Mo
W39134,13Baso
W39135,14Mo
W39137,15Mo
W39138,15Mo
W39139,10GMP
W39140,15Mo
W39141,16Neu
W39142,6Ery
W39143,2Ery
W39144,13Baso
W39145,5Ery
W39146,7MEP
W39148,6Ery
W39149,13Baso
W39150,2Ery
W39151,11DC
W39152,7MEP
W39153,13Baso
W39154,2Ery
W39155,14Mo
W39156,13Baso
W39157,8Mk
W39158,13Baso
W39159,7MEP
W39160,10GMP
W39161,10GMP
W39162,14Mo
W39163,16Neu
W39164,2Ery
W39165,13Baso
W39166,7MEP
W39167,15Mo
W39168,3Ery
